"Horror","Romcom","Action","Comedy","Fantasy"
11.6,31.4,71.4,59.6,87.1
20.3,45.9,71.2,73.5,68.2
43.6,60.5,58.3,77.1,77.5
16.1,56.7,36.8,95.3,89
0,25.7,58.6,82.7,100
34.7,62,47,90.4,78.6
19,62.9,46.2,76.7,62.5
18.9,51.3,66.4,61.6,63.2
10.4,46.5,35.3,70.9,99.1
24.7,78.7,43.9,55,50.2
33.4,53.9,41.2,86.1,100
18,54.8,50.2,92,71.9
17.7,41.5,31.1,74.2,69.5
38.2,38.9,41.6,63.2,76.9
22,36.7,58.6,88,86.2
23.1,49.9,55.6,76.7,78.6
17.5,71.3,38.3,70.4,51.5
35.8,76,56.7,88.5,79.2
65.4,46.4,80.5,45.9,23.1
67.9,33.5,85.5,80.7,20.1
47.6,20.9,63.5,67.4,27.1
31.5,24.9,66.5,60.9,22.9
56.1,23.5,39,80.2,25.1
48.7,0,63.5,76.3,33.9
50.8,45.4,79.6,80.3,16
48.6,37.8,81.1,61.5,39.1
55.2,15.8,99.3,74.3,30
56.3,29.6,75.8,68.5,29.5
69.6,27.9,80.6,58.8,5.6
71.8,11.4,75.9,86.1,26.4
50.5,42.9,69.2,66.9,23.3
56.3,22,84,64.3,40.2
64.3,27.2,80.6,71.3,46.7
76.8,29.9,76.6,69.7,44.8
59.3,13.1,65.2,56.5,16.6
39.6,12,74.5,64.4,20.4
62.8,24.4,84.4,96.3,28.9
58.6,31.9,83.1,64.1,17.3
81.3,25.9,69.2,61.4,10.7
64.1,33.5,67,73.8,39.5
52.5,29,81.2,69.8,30.8
54.7,31.5,87.6,58.5,37.4
53.9,8.2,76.5,52,15.6
62.2,33.1,71.2,75.2,25.9
62.1,15.5,64.4,66.4,15.9
71,19.4,70,70.8,20
63.8,23.7,57.2,61.5,32.8
55.6,5.2,66.6,45.2,20.2
48.7,23.8,88.6,65.8,18.1
67.6,19.7,88.3,93.7,14.3
59.3,16.4,64.6,47.5,12.8
62.2,18.3,77.5,53.2,19.6
73.2,39.9,75.8,49,50.4
81,9.9,55,60.6,22.1
48.6,22.4,84.7,81.6,16.6
79.7,0,52.1,63.2,13.1
49.6,16.9,60,61.9,28.2
63.2,19,87,49.5,25.3
62.7,43.5,68.5,65.8,33
56.7,13.5,72.4,77.4,26.6
76.7,14.5,55.5,92.1,40.4
52.1,8.2,57.6,80.8,38.6
67.9,27.2,79.2,54.6,42.7
59.8,38.8,72.9,59,32.9
48.8,10.6,67.9,72.3,43.4
74.6,19.9,59,64.9,29.1
34.9,41.4,61.8,68.3,41.2
53.7,16.8,99.4,49.3,28.1
41.5,33.2,71.1,59.9,21.8
62.3,29.7,84.3,53.9,15.4
63.2,9.3,84.4,53.9,21.5
46.6,39.6,84.2,56.4,21
67.8,34.5,78.5,60,36.9
47.6,19.1,60,64.9,29.4
67.9,14.2,62.9,72.6,22.4
62.9,20.3,84,58.9,19.2
68.6,34.8,59.3,54.7,48.2
48.7,18.2,81.3,84.4,27.2
61.1,2.5,68.6,76.9,15
54.4,23.3,70.2,73.4,24.8
42.4,34.3,65.5,85.4,31.1
61.8,11.1,72.2,53.3,40
81.3,22.1,85.5,89.6,29
52.2,10.3,80.4,79.7,31.3
57.6,26.4,72.2,68.7,17.5
68.3,23.4,85.4,72.5,39.6
60.4,24.6,94.9,65.7,31.2
83.3,17.5,74.9,63.7,38.8
68.8,16.5,80.6,46.1,48.6
87.9,35.5,78.3,73.9,32.1
64.2,26.3,63.3,90.7,26.6
46.4,22.8,63.9,90.1,20.8
65.1,0,98,67,23.1
48.9,9.7,85.6,63.7,19
47.9,34.2,83.9,67.2,34.4
57.7,20.1,76.8,78.8,12.4
71.2,10.5,80.8,82.7,9.1
64.1,19.7,76.8,69.9,22
69.8,20.5,75.5,78.4,43
71,19,77.7,64.7,31.5
57.9,31,62.9,71,24.1
31.2,43.3,100,79.2,38
69.6,36.9,84.6,100,25.8
86,40,72,64.4,28.6
60.7,21,89.6,57,30.9
43.7,35.1,67.5,70.3,43.1
55.6,13.2,95.5,60.1,45.5
48.8,23.3,70.3,72.6,45.4
59.5,51.2,47.1,69.1,41.7
68.1,24.8,91.4,80.8,34
70.4,21.3,88.6,53.5,52.6
62.8,18,65.7,50.5,54.5
48.8,34.3,58.1,83.8,45.9
69.8,50.3,53,67.7,27.4
76.2,29.9,71.8,53.9,17.5
87,21.9,53,52.1,32.3
54.1,49.9,65.2,58.4,23.3
65.7,15.7,77,72.1,33.3
74.3,38.6,85.3,58.7,23.4
58.6,19.9,65.2,81.1,41.1
66.3,12.7,73.5,67.9,56.3
62.6,39.6,78.1,67.4,41.6
58.4,3.4,95.6,64.8,38.9
62,21.3,63.5,61.4,30.4
71.6,25.2,55.7,63,56.2
64.9,19.7,52.9,78.9,29
54.4,5.3,81.7,48.9,46.5
33.1,17.3,74.3,78,48.9
50.5,6.3,84.3,60.8,31.9
59.8,48.1,73.3,73.8,0
29.8,2.7,79.7,64.3,26
86.5,0,77.7,48.9,35.5
42.1,33.4,75.3,69.2,14.4
46.1,35.9,67.5,57.3,14.5
77.5,22.6,90.1,78.5,40.9
33.7,22.5,70.1,55.1,0
68.9,33.7,83,43.5,32.8
55.9,41.8,77,54.8,26.8
36.8,51.3,51.1,54.9,52.5
